Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,Mar 2019,4.41,K,1.43, ,458,K,9.5, ,68.2, ,43.7,K,55.5, ,89, ,41, ,63, ,42.5, ,6.0,K,55.7, 
2,FivePoints,San Joaquin Valley,Apr 2019,6.69, ,0.48,K,597,K,10.7,K,79.3, ,50.2,K,64.9,K,78, ,32, ,51,K,45.9,K,6.3,K,62.5, 
2,FivePoints,San Joaquin Valley,May 2019,6.50,K,1.89,K,590,K,11.9, ,77.0,K,51.7, ,64.5,K,84, ,39, ,59,K,48.8,K,5.6, ,66.9, 
2,FivePoints,San Joaquin Valley,Jun 2019,9.05, ,0.00, ,746,K,13.3,K,91.6, ,59.5, ,76.4, ,69, ,26, ,42,K,51.7,K,5.9, ,72.8, 
2,FivePoints,San Joaquin Valley,Jul 2019,9.14, ,0.00,K,737,K,13.8, ,95.3, ,61.2,K,79.2,K,70, ,25, ,40,K,52.9,K,4.9, ,76.8, 
2,FivePoints,San Joaquin Valley,Aug 2019,8.58, ,0.07,K,657,K,14.4, ,95.6, ,62.5, ,79.6, ,69, ,25, ,42, ,54.1, ,5.4,K,77.0, 
2,FivePoints,San Joaquin Valley,Sep 2019,6.61, ,0.18,K,557,K,11.7, ,88.5, ,56.8,K,72.8, ,69, ,26, ,43, ,48.5, ,5.3, ,72.5, 
2,FivePoints,San Joaquin Valley,Oct 2019,4.97, ,0.07,K,447,K,7.0,K,79.2, ,43.2,K,60.6, ,65, ,20, ,38,K,34.4,K,4.9,K,63.7,K
2,FivePoints,San Joaquin Valley,Nov 2019,2.67, ,0.33,K,300,K,7.5, ,70.0,K,38.1,K,52.7, ,77, ,35, ,56, ,36.5, ,3.8,K,57.4, 
2,FivePoints,San Joaquin Valley,Dec 2019,1.28,K,2.10,K,169, ,10.4,K,58.8, ,40.9, ,49.3, ,99, ,65, ,86,K,45.2,K,4.7,K,53.8, 
2,FivePoints,San Joaquin Valley,Jan 2020,1.57, ,0.07,K,219, ,9.6, ,58.1, ,37.8, ,47.1, ,99, ,65, ,86, ,43.1, ,4.3, ,51.2, 
2,FivePoints,San Joaquin Valley,Feb 2020,3.39, ,0.20,K,379,K,7.2,K,67.6,K,36.9, ,51.6, ,79, ,33, ,55,K,35.4,K,5.2,K,52.2,K
2,FivePoints,San Joaquin Valley,Mar 2020,3.58,K,2.65,K,389,K,9.6, ,65.6,K,42.3, ,53.7,K,90, ,47, ,68,K,42.9,K,5.4,K,59.5,K
2,FivePoints,San Joaquin Valley,Apr 2020,6.01, ,1.11, ,558,K,10.9, ,75.2, ,48.2, ,61.9, ,85, ,39, ,58, ,46.3, ,6.5, ,61.3, 
2,FivePoints,San Joaquin Valley,May 2020,8.58, ,0.04,K,691,K,10.8,K,85.2, ,52.8, ,70.1,K,71, ,27, ,43,K,46.0,K,6.7, ,68.6, 
2,FivePoints,San Joaquin Valley,Jun 2020,8.92, ,0.45,K,729,K,13.3, ,90.8, ,58.5,K,75.6, ,68, ,28, ,43, ,51.5, ,6.2, ,76.1,K
2,FivePoints,San Joaquin Valley,Jul 2020,9.01, ,0.06,K,684, ,13.5, ,96.1, ,61.5, ,79.9, ,67, ,24, ,39, ,52.4, ,5.1, ,77.3, 
2,FivePoints,San Joaquin Valley,Aug 2020,7.89,K,0.42,K,546, ,15.0,K,96.5,K,64.4,L,81.2,K,68,K,26,K,41,K,55.1,K,5.2,K,78.2,K
2,FivePoints,San Joaquin Valley,Sep 2020,6.10, ,0.35, ,456, ,13.4, ,91.3,K,59.2,K,75.0, ,69, ,28, ,45, ,52.1, ,5.0,K,73.8, 
2,FivePoints,San Joaquin Valley,Oct 2020,4.56,K,0.21, ,368, ,9.9,K,84.0, ,49.4, ,65.5, ,69, ,26, ,45,K,43.4,K,4.3, ,68.1, 
2,FivePoints,San Joaquin Valley,Nov 2020,2.53,K,0.53, ,269, ,7.7, ,67.0,K,36.6,K,50.6,K,86, ,36, ,61,K,37.2,K,4.3, ,57.5, 
2,FivePoints,San Joaquin Valley,Dec 2020,1.78,K,0.40,K,214,K,7.2,K,60.0, ,33.2, ,45.6,K,89,K,49,K,70, ,35.7, ,4.6,K,51.4,K
2,FivePoints,San Joaquin Valley,Jan 2021,1.98, ,3.45, ,217, ,7.9, ,60.7, ,35.6, ,47.7, ,90, ,50, ,71, ,37.9, ,4.9,K,50.7, 
2,FivePoints,San Joaquin Valley,Feb 2021,3.13, ,0.01, ,339,K,7.6,K,65.4, ,39.3, ,52.0, ,84, ,35, ,57,K,36.6,K,6.1,K,52.3, 
2,FivePoints,San Joaquin Valley,Mar 2021,4.61, ,1.06, ,453,K,7.3,K,68.2, ,38.8, ,53.6, ,81, ,32, ,54,K,36.1,K,5.7,K,54.4, 
2,FivePoints,San Joaquin Valley,Apr 2021,6.78, ,0.21,K,603, ,7.8, ,79.8, ,45.2, ,62.8, ,71, ,22, ,41, ,38.0, ,6.0, ,61.7, 
2,FivePoints,San Joaquin Valley,May 2021,9.23, ,0.03,K,696,K,8.8, ,86.9, ,52.3, ,70.7, ,61, ,20, ,34, ,40.7, ,7.1,K,66.9, 
2,FivePoints,San Joaquin Valley,Jun 2021,9.15, ,0.01, ,701,K,12.4, ,94.5,K,60.6,K,77.9, ,64, ,22, ,38, ,49.6, ,6.2,K,74.8,L
2,FivePoints,San Joaquin Valley,Jul 2021,9.28, ,0.07, ,647, ,13.2, ,100.1,K,65.7,K,83.2,K,59, ,20, ,34,K,51.9,K,5.1, ,79.4,L
2,FivePoints,San Joaquin Valley,Aug 2021,8.17, ,0.03, ,574, ,13.0, ,97.0,K,61.9,K,79.8, ,65, ,22, ,38, ,51.3, ,4.9, ,80.0,L
2,FivePoints,San Joaquin Valley,Sep 2021,6.48, ,0.00, ,489,K,11.1, ,91.7, ,57.4,K,74.8,K,66, ,21, ,38,L,46.9,L,5.2,K,75.8, 
2,FivePoints,San Joaquin Valley,Oct 2021,4.15, ,1.24,K,343, ,9.6,K,76.5, ,47.3,K,61.5, ,78, ,32, ,52,K,42.4,K,5.2,K,66.2, 
2,FivePoints,San Joaquin Valley,Nov 2021,1.92, ,0.13, ,223, ,10.7, ,66.8, ,41.1, ,53.2, ,95, ,54, ,76, ,45.7, ,4.1,K,60.6, 
2,FivePoints,San Joaquin Valley,Dec 2021,0.84, ,2.25,K,118, ,9.1, ,54.5, ,37.7, ,45.9, ,98, ,70, ,86, ,41.9, ,5.0,K,53.8, 
2,FivePoints,San Joaquin Valley,Jan 2022,1.74, ,0.27,K,226, ,8.8, ,61.0, ,35.5, ,47.1, ,98, ,53, ,79, ,40.7, ,3.6, ,51.9, 
2,FivePoints,San Joaquin Valley,Feb 2022,3.22,K,0.06, ,364, ,6.0,K,68.1,K,33.9,K,50.1,K,76, ,26, ,48,K,30.8,K,4.7,K,51.8, 
2,FivePoints,San Joaquin Valley,Mar 2022,4.81, ,0.82,K,440, ,8.5,K,72.7,K,42.1, ,57.6,K,79, ,32, ,52,K,39.2,K,5.8, ,57.1, 
2,FivePoints,San Joaquin Valley,Apr 2022,6.59, ,0.12,K,549,K,8.2,K,75.8,K,46.0, ,61.4,K,72, ,27, ,44,K,38.8,K,7.2,K,65.2,K
2,FivePoints,San Joaquin Valley,May 2022,9.13, ,0.00, ,671,K,8.6, ,83.0, ,50.6,K,68.2,K,62, ,22, ,36,K,40.1,K,8.3,K,67.1, 
2,FivePoints,San Joaquin Valley,Jun 2022,9.65, ,0.00, ,699,K,10.6, ,92.1,K,58.4, ,77.0, ,58, ,21, ,34, ,45.6, ,7.3,K,73.0, 
2,FivePoints,San Joaquin Valley,Jul 2022,9.44, ,0.00, ,681,K,12.7,K,96.7,K,64.3,K,81.6, ,57, ,22, ,35,K,50.5,K,5.8, ,78.9, 
2,FivePoints,San Joaquin Valley,Aug 2022,8.46, ,0.00, ,562, ,13.1, ,98.5,K,64.8,K,82.3,K,61, ,21, ,35,K,51.4,K,5.7, ,79.7,K
2,FivePoints,San Joaquin Valley,Sep 2022,5.98,K,0.65,K,421,K,12.7,K,92.8,K,62.3,K,77.6,K,67,K,26,K,41,K,50.7,K,5.3,K,77.8,L
2,FivePoints,San Joaquin Valley,Oct 2022,3.95,K,0.00, ,304,K,9.9, ,84.1, ,49.8, ,66.3,K,71, ,25, ,44,K,43.6,K,4.5,K,70.1, 
2,FivePoints,San Joaquin Valley,Nov 2022,2.21,K,0.46,K,251, ,7.1, ,64.1,K,32.8, ,47.2,K,89, ,38, ,64,K,35.2,K,3.9, ,57.4,L
2,FivePoints,San Joaquin Valley,Dec 2022,0.75, ,2.70,K,120, ,9.6,K,52.9,K,38.6, ,45.4, ,99, ,77, ,91,K,42.9,K,4.1,K,55.9,L
2,FivePoints,San Joaquin Valley,Jan 2023,1.35,K,3.12,K,166,K,9.4,K,57.6, ,38.0, ,47.5,K,99,K,59,K,82,K,42.3,K,5.4,K,53.9,L
2,FivePoints,San Joaquin Valley,Feb 2023,2.21,K,2.25, ,269, ,7.3, ,60.0,K,33.8,K,46.6,K,93, ,43, ,68,K,36.0,K,5.0,K,51.4, 
2,FivePoints,San Joaquin Valley,Mar 2023,3.05,K,1.98,K,332, ,9.6,K,61.7, ,40.7,K,50.9,K,98, ,48, ,74,K,42.7,K,5.9,K,54.6, 
2,FivePoints,San Joaquin Valley,Apr 2023,6.14,K,0.00, ,533, ,9.1, ,75.2, ,44.4,K,60.5, ,80, ,31, ,50, ,41.3, ,6.0, ,61.5, 
2,FivePoints,San Joaquin Valley,May 2023,6.14,K,0.00, ,502,K,11.0, ,81.6,K,52.9,K,67.7,K,78, ,31, ,49,K,46.8,K,5.1, ,71.4,K
2,FivePoints,San Joaquin Valley,Jun 2023,7.51,K,0.00, ,635,K,12.2, ,86.0, ,56.4, ,71.9, ,72, ,29, ,46, ,49.4, ,4.5,K,79.2,K
2,FivePoints,San Joaquin Valley,Jul 2023,8.84,K,0.00, ,690, ,13.3, ,97.1, ,62.0, ,80.7, ,65, ,22, ,37, ,51.9, ,3.8,K,82.0,K
2,FivePoints,San Joaquin Valley,Aug 2023,7.41,K,0.00, ,603,K,15.2,K,94.5,K,62.3, ,78.7, ,78, ,26, ,44,L,54.9,L,3.4,K,81.7,K
2,FivePoints,San Joaquin Valley,Sep 2023,5.30,K,0.00, ,491, ,13.3, ,86.4,K,57.4, ,71.7, ,75, ,32, ,51, ,52.1, ,3.1,K,75.9, 
2,FivePoints,San Joaquin Valley,Oct 2023,4.32,K,0.00, ,400,K,10.8,K,80.9, ,49.0, ,64.1, ,79, ,30, ,52,K,45.7,K,4.0,K,70.3,K
2,FivePoints,San Joaquin Valley,Nov 2023,2.77, ,0.00, ,291, ,8.0, ,70.0, ,38.4, ,53.3, ,84, ,33, ,56, ,37.9, ,4.2,K,61.7, 
2,FivePoints,San Joaquin Valley,Dec 2023,1.62, ,1.76, ,192, ,9.3,K,63.0,K,38.4, ,49.5, ,94, ,54, ,76,K,41.9,K,4.2, ,56.5, 
5,Shafter,San Joaquin Valley,Jan 2018,1.48,K,1.17,L,197,L,10.2,L,62.6,L,40.6,L,50.4,L,98,L,56,L,81,L,44.3,L,3.2,L,54.0,L
5,Shafter,San Joaquin Valley,Feb 2018,2.75, ,0.24, ,337, ,7.7,K,66.3,K,36.1,K,50.4,K,92, ,32, ,60,K,36.9,K,3.6, ,53.9, 
5,Shafter,San Joaquin Valley,Mar 2018,3.46, ,2.06, ,373, ,10.5,K,68.8, ,44.1, ,55.9, ,97, ,40, ,68,K,45.2,K,4.0,K,57.9, 
5,Shafter,San Joaquin Valley,Apr 2018,5.65, ,0.24, ,527, ,10.6,K,77.7,K,49.2,K,63.4,K,87, ,29, ,53,L,45.3,L,4.4,K,65.3, 
5,Shafter,San Joaquin Valley,May 2018,7.50, ,0.00, ,639, ,12.0, ,83.1, ,54.6, ,69.0, ,80, ,29, ,50, ,49.3, ,4.7,K,71.3, 
5,Shafter,San Joaquin Valley,Jun 2018,8.44,K,0.00,K,731,K,13.9,K,92.1, ,60.0,K,76.7,K,75,K,26,K,44,K,53.0,K,4.4,K,77.6,K
5,Shafter,San Joaquin Valley,Jul 2018,8.72, ,0.00, ,657, ,18.4, ,99.6, ,69.6,K,84.5, ,75, ,26, ,45, ,61.0, ,3.8,K,82.6, 
5,Shafter,San Joaquin Valley,Aug 2018,7.77,K,0.00,L,622,L,15.4,L,95.9,L,64.1,L,80.0,L,76,L,25,L,45,L,56.4,L,3.6,L,80.9,L
5,Shafter,San Joaquin Valley,Sep 2018,6.10, ,0.00, ,559,K,13.4, ,91.4, ,57.4, ,74.2, ,79, ,25, ,47, ,52.2, ,3.3, ,76.8, 
5,Shafter,San Joaquin Valley,Oct 2018,4.19, ,0.00, ,419,K,11.5, ,80.3, ,49.4, ,63.9, ,85, ,32, ,56, ,47.8, ,3.3,K,69.8, 
5,Shafter,San Joaquin Valley,Nov 2018,2.30, ,0.60, ,273,K,9.1,K,69.7, ,39.4,K,53.1, ,91, ,38, ,65,K,41.3,K,2.9, ,60.4, 
5,Shafter,San Joaquin Valley,Dec 2018,1.32, ,0.41, ,184, ,9.4, ,58.2, ,38.7,K,47.8, ,98, ,61, ,83, ,42.6, ,3.2,K,54.5, 
5,Shafter,San Joaquin Valley,Jan 2019,1.93, ,1.39, ,235,K,9.8,K,62.9, ,40.1, ,50.8,K,96, ,51, ,77,K,43.5,K,4.2,K,52.7, 
5,Shafter,San Joaquin Valley,Feb 2019,2.19,K,0.94,K,298,K,8.7, ,59.4,K,38.7,K,48.7,K,95, ,48, ,73,K,40.3,K,4.8,K,52.3,K
5,Shafter,San Joaquin Valley,Mar 2019,3.99, ,1.92,K,445,K,10.5, ,68.4, ,44.5, ,55.9, ,94, ,43, ,69, ,45.4, ,4.3,K,57.0, 
5,Shafter,San Joaquin Valley,Apr 2019,6.32,K,0.06, ,586,K,12.3,K,80.7, ,51.6,K,66.4,K,85, ,33, ,56,K,49.7,K,5.1,K,64.9, 
5,Shafter,San Joaquin Valley,May 2019,6.55,K,2.24, ,592,K,13.0,K,78.6,K,54.5,K,66.0,K,86, ,39, ,60,K,51.3,K,5.3,K,69.9,K
5,Shafter,San Joaquin Valley,Jun 2019,8.61, ,0.00, ,725,K,15.6,K,93.1, ,62.4,K,78.0,K,76, ,27, ,47,K,56.1,K,4.7,K,78.7,K
5,Shafter,San Joaquin Valley,Jul 2019,8.76,K,0.00, ,698,K,15.6, ,96.9,K,65.2,K,81.5,K,73, ,23, ,42,K,56.4,K,4.2,K,81.9, 
5,Shafter,San Joaquin Valley,Aug 2019,8.37,K,0.00, ,639, ,16.0, ,98.0,K,65.8,K,81.8,K,73, ,24, ,43,K,57.1,K,4.2,K,81.6, 
5,Shafter,San Joaquin Valley,Sep 2019,6.34, ,0.00, ,537, ,12.7, ,89.9, ,58.5,K,73.7, ,74, ,23, ,45, ,50.6, ,4.3,K,77.1, 
5,Shafter,San Joaquin Valley,Oct 2019,4.50, ,0.00, ,429,K,8.5,K,78.9, ,44.6, ,60.8,K,77, ,22, ,47,L,40.1,L,3.6,K,67.2, 
5,Shafter,San Joaquin Valley,Nov 2019,2.59, ,0.64, ,293,K,8.7,K,70.6, ,40.3,K,54.1, ,86, ,36, ,61,K,40.4,K,3.3,K,59.5, 
5,Shafter,San Joaquin Valley,Dec 2019,1.64,K,1.84,K,192, ,9.7,K,61.1,K,40.6,K,50.3,K,97, ,55, ,78,K,43.1,K,4.0,K,54.1, 
5,Shafter,San Joaquin Valley,Jan 2020,1.54, ,0.09,K,224, ,9.4, ,58.0, ,37.4, ,46.7, ,100, ,64, ,87, ,42.8, ,3.3, ,50.9, 
5,Shafter,San Joaquin Valley,Feb 2020,3.31,K,0.01, ,385,K,8.5,K,71.7,K,38.7, ,54.8,K,90,K,30,K,58,L,39.7,L,3.7, ,52.8,K
5,Shafter,San Joaquin Valley,Mar 2020,3.88, ,1.90, ,431,K,10.0, ,67.3,K,44.2, ,55.3, ,92, ,42, ,67, ,44.2, ,4.6,K,58.9, 
5,Shafter,San Joaquin Valley,Apr 2020,5.42, ,2.69, ,553,K,12.9,K,74.9,K,52.5,K,63.3,K,91, ,42, ,65,K,50.9,K,4.7, ,63.7, 
5,Shafter,San Joaquin Valley,May 2020,8.07, ,0.02, ,687,K,12.2, ,86.8,K,56.0,K,71.3,K,77, ,26, ,46,K,49.3,K,5.0,K,72.8, 
5,Shafter,San Joaquin Valley,Jun 2020,8.67,K,0.00, ,711,K,15.4,K,94.6,L,62.1,K,79.0,K,73,K,24,K,44,K,55.2,K,5.0,K,77.0, 
5,Shafter,San Joaquin Valley,Jul 2020,9.38, ,0.00, ,725,K,15.1, ,100.9,K,64.8, ,82.8, ,71, ,19, ,39, ,55.4, ,4.6,K,79.8, 
5,Shafter,San Joaquin Valley,Aug 2020,8.16,K,0.00, ,598,K,15.6, ,100.0,K,67.6,K,83.5,K,68,K,21,K,40,L,55.8,L,4.2,K,84.5,K
5,Shafter,San Joaquin Valley,Sep 2020,5.80, ,0.00, ,479, ,15.5, ,93.3, ,62.0,K,76.9,K,77, ,27, ,49,K,56.1,K,3.5,K,81.5,K
5,Shafter,San Joaquin Valley,Oct 2020,4.37, ,0.00, ,398, ,13.2, ,87.1,K,53.7,K,69.0,K,82, ,29, ,53,K,51.2,K,3.1, ,74.4,K
5,Shafter,San Joaquin Valley,Nov 2020,2.38, ,0.46, ,284,K,9.2, ,68.2,K,39.9, ,52.5,K,93, ,41, ,68,K,42.1,K,3.1,K,59.3, 
5,Shafter,San Joaquin Valley,Dec 2020,1.84, ,0.34, ,236,K,7.3,K,61.8,K,33.7, ,46.5,K,91, ,45, ,69,K,36.2,K,3.2,K,51.6, 
5,Shafter,San Joaquin Valley,Jan 2021,2.13, ,1.13, ,249,K,8.4, ,62.9, ,37.1, ,48.8, ,93, ,46, ,72, ,39.7, ,4.2,K,50.6, 
5,Shafter,San Joaquin Valley,Feb 2021,3.02, ,0.06, ,382,K,8.7,K,68.4,K,39.9, ,53.6,K,91, ,35, ,62,K,40.6,K,4.0,K,54.0, 
5,Shafter,San Joaquin Valley,Mar 2021,4.69,K,0.60,K,477,K,9.0,K,72.4,K,43.2, ,57.1,K,87,K,31,K,58,L,41.8,L,4.7,K,58.8,K
5,Shafter,San Joaquin Valley,Apr 2021,6.54, ,0.19, ,622,K,10.0, ,80.9, ,47.9, ,64.9, ,81, ,24, ,48, ,44.4, ,4.7,K,69.5,K
5,Shafter,San Joaquin Valley,May 2021,8.58, ,0.00, ,716,K,11.3, ,88.9,K,56.0,K,72.9,K,72, ,21, ,41,K,47.3,K,5.1,K,78.8,K
5,Shafter,San Joaquin Valley,Jun 2021,9.04,K,0.00, ,718,K,15.0, ,97.6,K,65.4,K,81.7,K,70,K,22,K,40,K,54.9,K,5.1,K,85.1,L
5,Shafter,San Joaquin Valley,Jul 2021,9.50,K,0.08, ,668,K,15.5, ,103.5,K,69.8,L,86.6,K,63,K,18,K,36,L,55.6,L,4.6,K,90.4,L
5,Shafter,San Joaquin Valley,Aug 2021,8.61,K,0.00,K,617,K,15.0,K,101.0,L,67.5,K,84.1,K,68,K,19,K,38,L,55.1,L,4.6,K,89.4,L
5,Shafter,San Joaquin Valley,Sep 2021,6.32, ,0.00, ,511,K,13.0, ,94.0,K,60.0,K,76.6,K,70, ,23, ,42,K,51.3,K,3.9,K,84.2,L
5,Shafter,San Joaquin Valley,Oct 2021,4.11, ,0.98, ,382,K,10.4,K,77.5,K,48.1, ,62.1, ,81, ,31, ,55,K,44.7,K,4.1,K,71.9,K
5,Shafter,San Joaquin Valley,Nov 2021,1.90, ,0.06, ,247,K,11.4, ,67.6, ,43.3, ,53.7, ,98, ,55, ,80, ,47.6, ,2.9, ,61.4, 
5,Shafter,San Joaquin Valley,Dec 2021,1.13, ,2.19, ,170, ,9.4,K,57.2,K,38.5,K,47.0, ,99, ,64, ,86,K,42.8,K,3.6,K,52.3, 
5,Shafter,San Joaquin Valley,Jan 2022,1.83, ,0.04, ,255,K,9.2, ,61.7, ,36.4, ,47.5, ,100, ,54, ,82, ,42.2, ,3.0, ,50.2, 
5,Shafter,San Joaquin Valley,Feb 2022,3.10, ,0.06, ,391,K,7.9, ,71.0,K,37.1, ,53.1,K,93, ,28, ,57,K,38.2,K,3.7, ,52.2, 
5,Shafter,San Joaquin Valley,Mar 2022,4.61,K,1.02, ,484,K,9.7, ,73.7,K,43.9, ,58.2,K,92, ,31, ,59,K,43.2,K,4.0,K,60.5,K
5,Shafter,San Joaquin Valley,Apr 2022,6.24, ,0.33, ,625,K,10.3,K,77.9,K,47.7,K,62.5,K,87, ,28, ,53,K,44.7,K,4.5,K,69.2,K
5,Shafter,San Joaquin Valley,May 2022,8.14, ,0.00, ,705,K,10.2,K,84.7, ,51.7,K,68.6,K,75, ,21, ,42,K,44.5,K,5.0,K,76.9,K
5,Shafter,San Joaquin Valley,Jun 2022,8.59, ,0.07, ,717,K,13.3, ,94.3,K,59.8,K,77.7, ,73, ,20, ,41, ,51.7, ,4.5,K,81.1,K
5,Shafter,San Joaquin Valley,Jul 2022,9.23,K,0.00, ,692,K,17.9, ,103.1,L,69.2,K,86.5,K,70,K,21,K,41,L,59.7,L,4.4,K,83.2, 
5,Shafter,San Joaquin Valley,Aug 2022,8.61,K,0.00, ,633,K,15.5, ,101.3,L,66.9,L,83.8,K,67, ,21, ,39,K,56.0,K,4.3,K,83.4,K
5,Shafter,San Joaquin Valley,Sep 2022,6.34,K,0.00, ,513, ,15.0,K,94.6,K,63.6,K,78.6,K,73, ,26, ,46,K,55.2,K,4.0,K,80.2,K
5,Shafter,San Joaquin Valley,Oct 2022,4.45, ,0.00, ,420,K,12.4, ,83.6, ,51.7,K,66.8,K,81, ,31, ,54,K,49.5,K,3.2,K,72.5, 
5,Shafter,San Joaquin Valley,Nov 2022,2.33, ,0.38, ,308,K,7.9, ,65.0, ,34.8, ,48.3, ,92, ,40, ,68, ,38.1, ,3.1,K,59.4, 
5,Shafter,San Joaquin Valley,Dec 2022,0.97, ,1.87, ,155, ,9.1,K,54.0, ,37.8,K,45.1,K,98, ,70, ,88,K,41.5,K,3.5,K,53.0, 
5,Shafter,San Joaquin Valley,Jan 2023,1.73, ,2.52,K,226,K,9.2,K,59.1, ,38.4,K,48.1,K,98,K,57,K,80,K,42.1,K,4.1,K,52.3,K
5,Shafter,San Joaquin Valley,Feb 2023,2.53, ,2.15, ,349,K,7.7,K,61.6,K,34.8,K,47.5,K,94, ,41, ,69,K,37.5,K,4.4,K,51.4, 
5,Shafter,San Joaquin Valley,Mar 2023,3.32,K,2.32, ,398,K,10.1,K,62.9,K,42.0,K,52.0,K,96, ,49, ,75,K,44.2,K,4.5,K,55.7, 
5,Shafter,San Joaquin Valley,Apr 2023,6.08, ,0.00, ,624,K,11.3,K,75.8, ,45.9,K,61.0,K,90, ,34, ,60,K,46.9,K,4.6,K,61.1, 
5,Shafter,San Joaquin Valley,May 2023,7.40, ,0.26, ,668,K,13.3,K,82.3, ,54.5, ,68.1, ,84, ,34, ,56,K,51.8,K,5.2,K,70.5, 
5,Shafter,San Joaquin Valley,Jun 2023,7.54, ,0.82, ,698,K,15.4, ,85.7,K,58.3,K,72.0, ,83, ,37, ,57, ,55.8, ,4.6,K,78.0, 
5,Shafter,San Joaquin Valley,Jul 2023,8.82, ,0.00, ,694,K,17.5,K,99.8, ,65.3, ,82.7, ,77, ,23, ,46,K,59.5,K,4.0,K,87.0,K
5,Shafter,San Joaquin Valley,Aug 2023,7.77,K,1.28, ,615,K,17.7,K,96.5,L,65.5,K,80.2,K,81,K,30,K,51,K,59.7,K,4.4,K,86.3,K
5,Shafter,San Joaquin Valley,Sep 2023,5.78, ,0.00, ,525,K,15.3, ,88.2,K,60.2,K,73.7, ,82, ,33, ,54, ,55.9, ,4.2,K,81.2,K
5,Shafter,San Joaquin Valley,Oct 2023,4.36,K,0.22, ,421,K,12.6, ,82.0,K,50.5,K,65.5,K,87, ,33, ,58,K,50.1,K,3.6,K,73.6,K
5,Shafter,San Joaquin Valley,Nov 2023,2.72, ,0.03,K,311,K,8.6, ,71.8, ,39.2,K,54.3,K,88, ,32, ,59,K,40.1,K,3.4,K,62.1,K
